start,end,goog_dolar
04/25/10,05/01/10,20
05/02/10,05/08/10,27
05/09/10,05/15/10,27
05/16/10,05/22/10,25
05/23/10,05/29/10,20
05/30/10,06/05/10,26
06/06/10,06/12/10,29
06/13/10,06/19/10,23
06/20/10,06/26/10,22
06/27/10,07/03/10,22
07/04/10,07/10/10,24
07/11/10,07/17/10,22
07/18/10,07/24/10,20
07/25/10,07/31/10,19
08/01/10,08/07/10,23
08/08/10,08/14/10,21
08/15/10,08/21/10,19
08/22/10,08/28/10,18
08/29/10,09/04/10,18
09/05/10,09/11/10,17
09/12/10,09/18/10,16
09/19/10,09/25/10,17
09/26/10,10/02/10,21
10/03/10,10/09/10,21
10/10/10,10/16/10,17
10/17/10,10/23/10,20
10/24/10,10/30/10,17
10/31/10,11/06/10,20
11/07/10,11/13/10,19
11/14/10,11/20/10,18
11/21/10,11/27/10,15
11/28/10,12/04/10,18
12/05/10,12/11/10,17
12/12/10,12/18/10,17
12/19/10,12/25/10,15
12/26/10,01/01/11,16
01/02/11,01/08/11,20
01/09/11,01/15/11,19
01/16/11,01/22/11,16
01/23/11,01/29/11,16
01/30/11,02/05/11,17
02/06/11,02/12/11,18
02/13/11,02/19/11,16
02/20/11,02/26/11,16
02/27/11,03/05/11,17
03/06/11,03/12/11,14
03/13/11,03/19/11,17
03/20/11,03/26/11,13
03/27/11,04/02/11,14
04/03/11,04/09/11,17
04/10/11,04/16/11,18
04/17/11,04/23/11,15
04/24/11,04/30/11,21
05/01/11,05/07/11,22
05/08/11,05/14/11,18
05/15/11,05/21/11,18
05/22/11,05/28/11,16
05/29/11,06/04/11,18
06/05/11,06/11/11,18
06/12/11,06/18/11,16
06/19/11,06/25/11,15
06/26/11,07/02/11,18
07/03/11,07/09/11,21
07/10/11,07/16/11,18
07/17/11,07/23/11,17
07/24/11,07/30/11,19
07/31/11,08/06/11,22
08/07/11,08/13/11,22
08/14/11,08/20/11,20
08/21/11,08/27/11,19
08/28/11,09/03/11,23
09/04/11,09/10/11,25
09/11/11,09/17/11,24
09/18/11,09/24/11,26
09/25/11,10/01/11,25
10/02/11,10/08/11,26
10/09/11,10/15/11,22
10/16/11,10/22/11,25
10/23/11,10/29/11,30
10/30/11,11/05/11,38
11/06/11,11/12/11,36
11/13/11,11/19/11,35
11/20/11,11/26/11,30
11/27/11,12/03/11,27
12/04/11,12/10/11,29
12/11/11,12/17/11,30
12/18/11,12/24/11,27
12/25/11,12/31/11,27
01/01/12,01/07/12,31
01/08/12,01/14/12,30
01/15/12,01/21/12,28
01/22/12,01/28/12,26
01/29/12,02/04/12,27
02/05/12,02/11/12,25
02/12/12,02/18/12,23
02/19/12,02/25/12,22
02/26/12,03/03/12,23
03/04/12,03/10/12,25
03/11/12,03/17/12,22
03/18/12,03/24/12,24
03/25/12,03/31/12,24
04/01/12,04/07/12,17
04/08/12,04/14/12,23
04/15/12,04/21/12,22
04/22/12,04/28/12,21
04/29/12,05/05/12,18
05/06/12,05/12/12,22
05/13/12,05/19/12,33
05/20/12,05/26/12,33
05/27/12,06/02/12,36
06/03/12,06/09/12,33
06/10/12,06/16/12,22
06/17/12,06/23/12,19
06/24/12,06/30/12,20
07/01/12,07/07/12,21
