date,tipo,venta,compra
9/21/2011,Casas de cambio,4.2300,
9/21/2011,Informal,4.4380,
9/22/2011,Casas de cambio,4.2300,
9/22/2011,Informal,4.4480,
9/23/2011,Casas de cambio,4.2300,
9/23/2011,Informal,4.4850,
9/26/2011,Casas de cambio,4.2400,
9/26/2011,Informal,4.4730,
9/27/2011,Casas de cambio,4.2350,
9/27/2011,Informal,4.4500,
9/28/2011,Casas de cambio,4.2400,
9/28/2011,Informal,4.4530,
9/29/2011,Casas de cambio,4.2400,
9/29/2011,Informal,4.4330,
9/30/2011,Casas de cambio,4.2400,
9/30/2011,Informal,4.4330,
10/3/2011,Casas de cambio,4.2400,
10/3/2011,Informal,4.4230,
10/4/2011,Casas de cambio,4.2350,
10/4/2011,Informal,4.4380,
10/5/2011,Casas de cambio,4.2400,
10/5/2011,Informal,4.4330,
10/6/2011,Casas de cambio,4.2450,
10/6/2011,Informal,4.4050,
10/7/2011,Casas de cambio,4.2450,
10/7/2011,Informal,4.3980,
10/11/2011,Casas de cambio,4.2450,
10/11/2011,Informal,4.3930,
10/12/2011,Casas de cambio,4.2400,
10/12/2011,Informal,4.3780,
10/13/2011,Casas de cambio,4.2450,
10/13/2011,Informal,4.4250,
10/14/2011,Casas de cambio,4.2450,
10/14/2011,Informal,4.4280,
10/17/2011,Casas de cambio,4.2500,
10/17/2011,Informal,4.4130,
10/18/2011,Casas de cambio,4.2500,
10/18/2011,Informal,4.4180,
10/19/2011,Casas de cambio,4.2600,
10/19/2011,Informal,4.4530,
10/20/2011,Casas de cambio,4.2600,
10/20/2011,Informal,4.4680,
10/21/2011,Casas de cambio,4.2650,
10/21/2011,Informal,4.4700,
10/24/2011,Casas de cambio,4.2650,
10/24/2011,Informal,4.4600,
10/25/2011,Casas de cambio,4.2650,
10/25/2011,Informal,4.4650,
10/26/2011,Casas de cambio,4.2650,
10/26/2011,Informal,4.4750,
10/27/2011,Casas de cambio,4.2650,
10/27/2011,Informal,4.4950,
10/28/2011,Casas de cambio,4.2650,
10/28/2011,Informal,4.4880,
10/31/2011,Casas de cambio,4.2650,
10/31/2011,Informal,4.4880,
11/1/2011,Casas de cambio,4.2700,
11/1/2011,Informal,4.6200,
11/2/2011,Casas de cambio,4.2700,
11/2/2011,Informal,4.6900,
11/3/2011,Casas de cambio,4.2750,
11/3/2011,Informal,4.6800,
11/4/2011,Casas de cambio,4.2750,
11/4/2011,Informal,4.6700,
11/7/2011,Casas de cambio,4.2800,
11/7/2011,Informal,4.6750,
11/8/2011,Casas de cambio,4.2800,
11/8/2011,Informal,4.7500,
11/9/2011,Casas de cambio,4.2850,
11/9/2011,Informal,4.8700,
11/10/2011,Casas de cambio,4.2850,
11/10/2011,Informal,4.9950,
11/11/2011,Casas de cambio,4.2900,
11/11/2011,Informal,4.9850,
11/14/2011,Casas de cambio,4.2900,
11/14/2011,Informal,4.7900,
11/15/2011,Casas de cambio,4.2950,
11/15/2011,Informal,4.7900,
11/16/2011,Casas de cambio,4.2950,
11/16/2011,Informal,4.7900,
11/17/2011,Casas de cambio,4.2900,
11/17/2011,Informal,4.7900,
11/18/2011,Casas de cambio,4.2850,
11/18/2011,Informal,4.7900,
11/21/2011,Casas de cambio,4.2850,
11/21/2011,Informal,4.7900,
11/22/2011,Casas de cambio,4.2800,
11/22/2011,Informal,4.7900,
11/23/2011,Casas de cambio,4.2800,
11/23/2011,Informal,4.7900,
11/24/2011,Casas de cambio,4.2800,
11/24/2011,Informal,4.7900,
11/25/2011,Casas de cambio,4.2800,
11/25/2011,Informal,4.7900,
11/29/2011,Casas de cambio,4.2900,
11/29/2011,Informal,4.7900,
11/30/2011,Casas de cambio,4.3000,
11/30/2011,Informal,4.7900,
12/1/2011,Casas de cambio,4.3000,
12/1/2011,Informal,4.7900,
12/2/2011,Casas de cambio,4.3050,
12/2/2011,Informal,4.7900,
12/5/2011,Casas de cambio,4.3050,
12/5/2011,Informal,4.7900,
12/6/2011,Casas de cambio,4.3050,
12/6/2011,Informal,4.7900,
12/7/2011,Casas de cambio,4.3050,
12/7/2011,Informal,4.7900,
12/12/2011,Casas de cambio,4.3050,
12/12/2011,Informal,4.7900,
12/13/2011,Casas de cambio,4.3050,
12/13/2011,Informal,4.7900,
12/14/2011,Casas de cambio,4.3050,
12/14/2011,Informal,4.6100,
12/15/2011,Casas de cambio,4.3050,
12/15/2011,Informal,4.6200,
12/16/2011,Casas de cambio,4.3100,
12/16/2011,Informal,4.6100,
12/19/2011,Casas de cambio,4.3100,
12/19/2011,Informal,4.6400,
12/20/2011,Casas de cambio,4.3100,
12/20/2011,Informal,4.6300,
12/21/2011,Casas de cambio,4.3100,
12/21/2011,Informal,4.6300,
12/22/2011,Casas de cambio,4.3100,
12/22/2011,Informal,4.6500,
12/23/2011,Casas de cambio,4.3100,
12/23/2011,Informal,4.6700,
12/26/2011,Casas de cambio,4.3100,
12/26/2011,Informal,4.6500,
12/27/2011,Casas de cambio,4.3100,
12/27/2011,Informal,4.7100,
12/28/2011,Casas de cambio,4.3200,
12/28/2011,Informal,4.7400,
12/29/2011,Casas de cambio,4.3200,
12/29/2011,Informal,4.7350,
1/3/2012,Casas de cambio,4.3250,
1/3/2012,Informal,4.7450,
1/4/2012,Casas de cambio,4.3250,
1/4/2012,Informal,4.7800,
1/5/2012,Casas de cambio,4.3300,
1/5/2012,Informal,4.7900,
1/6/2012,Casas de cambio,4.3350,
1/6/2012,Informal,4.7850,
1/9/2012,Casas de cambio,4.3400,
1/9/2012,Informal,4.7900,
1/10/2012,Casas de cambio,4.3400,
1/10/2012,Informal,4.7900,
1/11/2012,Casas de cambio,4.3400,
1/11/2012,Informal,4.8000,
1/12/2012,Casas de cambio,4.3400,
1/12/2012,Informal,4.8000,
1/13/2012,Casas de cambio,4.3400,
1/13/2012,Informal,4.8050,
1/16/2012,Casas de cambio,4.3400,
1/16/2012,Informal,4.8050,
1/17/2012,Casas de cambio,4.3400,
1/17/2012,Informal,4.8100,
1/18/2012,Casas de cambio,4.3400,
1/18/2012,Informal,4.8250,
1/19/2012,Casas de cambio,4.3400,
1/19/2012,Informal,4.8350,
1/20/2012,Casas de cambio,4.3400,
1/20/2012,Informal,4.8350,
1/23/2012,Casas de cambio,4.3450,
1/23/2012,Informal,4.8400,
1/24/2012,Casas de cambio,4.3450,
1/24/2012,Informal,4.8400,
1/25/2012,Casas de cambio,4.3500,
1/25/2012,Informal,4.8400,
1/26/2012,Casas de cambio,4.3550,
1/26/2012,Informal,4.8450,
1/27/2012,Casas de cambio,4.3550,
1/27/2012,Informal,4.8350,
1/30/2012,Casas de cambio,4.3550,
1/30/2012,Informal,4.8050,
1/31/2012,Casas de cambio,4.3550,
1/31/2012,Informal,4.7900,
2/1/2012,Casas de cambio,4.3550,
2/1/2012,Informal,4.7750,
2/2/2012,Casas de cambio,4.3550,
2/2/2012,Informal,4.7750,
2/3/2012,Casas de cambio,4.3550,
2/3/2012,Informal,4.7750,
2/6/2012,Casas de cambio,4.3550,
2/6/2012,Informal,4.7650,
2/7/2012,Casas de cambio,4.3550,
2/7/2012,Informal,4.7300,
2/8/2012,Casas de cambio,4.3550,
2/8/2012,Informal,4.7300,
2/9/2012,Casas de cambio,4.3650,
2/9/2012,Informal,4.7600,
2/10/2012,Casas de cambio,4.3650,
2/10/2012,Informal,4.7600,
2/13/2012,Casas de cambio,4.3650,
2/13/2012,Informal,4.7400,
2/14/2012,Casas de cambio,4.3650,
2/14/2012,Informal,4.7350,
2/15/2012,Casas de cambio,4.3650,
2/15/2012,Informal,4.7600,
2/16/2012,Casas de cambio,4.3700,
2/16/2012,Informal,4.7350,
2/17/2012,Casas de cambio,4.3700,
2/17/2012,Informal,4.7600,
2/22/2012,Casas de cambio,4.3750,
2/22/2012,Informal,4.7400,
2/23/2012,Casas de cambio,4.3750,
2/23/2012,Informal,4.7300,
2/24/2012,Casas de cambio,4.3750,
2/24/2012,Informal,4.7300,
2/28/2012,Casas de cambio,4.3750,
2/28/2012,Informal,4.7250,
2/29/2012,Casas de cambio,4.3750,
2/29/2012,Informal,4.7200,
3/1/2012,Casas de cambio,4.3750,
3/1/2012,Informal,4.7000,
3/2/2012,Casas de cambio,4.3650,
3/2/2012,Informal,4.6900,
3/5/2012,Casas de cambio,4.3650,
3/5/2012,Informal,4.6850,
3/6/2012,Casas de cambio,4.3700,
3/6/2012,Informal,4.6850,
3/7/2012,Casas de cambio,4.3700,
3/7/2012,Informal,4.7100,
3/8/2012,Casas de cambio,4.3700,
3/8/2012,Informal,4.7100,
3/9/2012,Casas de cambio,4.3700,
3/9/2012,Informal,4.7100,
3/12/2012,Casas de cambio,4.3700,
3/12/2012,Informal,4.7150,
3/13/2012,Casas de cambio,4.3700,
3/13/2012,Informal,4.7200,
3/14/2012,Casas de cambio,4.3750,
3/14/2012,Informal,4.7400,
3/15/2012,Casas de cambio,4.3750,
3/15/2012,Informal,4.7850,
3/16/2012,Casas de cambio,4.3800,
3/16/2012,Informal,4.8150,
3/19/2012,Casas de cambio,4.3800,
3/19/2012,Informal,4.7900,
3/20/2012,Casas de cambio,4.3800,
3/20/2012,Informal,4.8200,
3/21/2012,Casas de cambio,4.3850,
3/21/2012,Informal,4.8550,
3/22/2012,Casas de cambio,4.3850,
3/22/2012,Informal,4.8700,
3/23/2012,Casas de cambio,4.3900,
3/23/2012,Informal,4.8900,
3/26/2012,Casas de cambio,4.3900,
3/26/2012,Informal,4.9050,
3/27/2012,Casas de cambio,4.3950,
3/27/2012,Informal,4.9300,
3/28/2012,Casas de cambio,4.3950,
3/28/2012,Informal,4.9300,
3/29/2012,Casas de cambio,4.3950,
3/29/2012,Informal,4.9400,
3/30/2012,Casas de cambio,4.3950,
3/30/2012,Informal,4.9300,
4/3/2012,Casas de cambio,4.4000,
4/3/2012,Informal,4.8900,
4/4/2012,Casas de cambio,4.4050,
4/4/2012,Informal,4.9050,
4/9/2012,Casas de cambio,4.4050,
4/9/2012,Informal,4.8900,
4/10/2012,Casas de cambio,4.4100,
4/10/2012,Informal,4.8800,
4/11/2012,Casas de cambio,4.4100,
4/11/2012,Informal,4.8900,
4/12/2012,Casas de cambio,4.4100,
4/12/2012,Informal,4.9100,
4/13/2012,Casas de cambio,4.4100,
4/13/2012,Informal,4.9300,
4/16/2012,Casas de cambio,4.4100,
4/16/2012,Informal,4.9500,
4/17/2012,Casas de cambio,4.4100,
4/17/2012,Informal,5.0100,
4/18/2012,Casas de cambio,4.4200,
4/18/2012,Informal,5.0200,
4/19/2012,Casas de cambio,4.4250,
4/19/2012,Informal,5.0200,
4/20/2012,Casas de cambio,4.4300,
4/20/2012,Informal,5.0200,
4/23/2012,Casas de cambio,4.4300,
4/23/2012,Informal,5.0400,
4/24/2012,Casas de cambio,4.4300,
4/24/2012,Informal,5.1300,
4/25/2012,Casas de cambio,4.4300,
4/25/2012,Informal,5.1400,
4/26/2012,Casas de cambio,4.4350,
4/26/2012,Informal,5.1000,
4/27/2012,Casas de cambio,4.4350,
4/27/2012,Informal,5.0900,
5/2/2012,Casas de cambio,4.4400,
5/2/2012,Informal,5.0800,
5/3/2012,Casas de cambio,4.4400,
5/3/2012,Informal,5.0500,
5/4/2012,Casas de cambio,4.4500,
5/4/2012,Informal,5.0400,
5/7/2012,Casas de cambio,4.4550,
5/7/2012,Informal,5.0500,
5/8/2012,Casas de cambio,4.4650,
5/8/2012,Informal,5.0600,
5/9/2012,Casas de cambio,4.4700,
5/9/2012,Informal,5.0800,
5/10/2012,Casas de cambio,4.4700,
5/10/2012,Informal,5.1000,
5/11/2012,Casas de cambio,4.4700,
5/11/2012,Informal,5.1800,
5/14/2012,Casas de cambio,4.4700,
5/14/2012,Informal,5.2280,
5/15/2012,Casas de cambio,4.4480,
5/15/2012,Informal,5.5500,
5/16/2012,Casas de cambio,4.4750,
5/16/2012,Informal,5.4900,
5/17/2012,Casas de cambio,4.4750,
5/17/2012,Informal,5.5900,
5/18/2012,Casas de cambio,4.4750,
5/18/2012,Informal,5.6300,
5/21/2012,Casas de cambio,4.4800,
5/21/2012,Informal,5.7200,
5/22/2012,Casas de cambio,4.4850,
5/22/2012,Informal,5.9400,
5/23/2012,Casas de cambio,4.4900,
5/23/2012,Informal,6.1500,
5/24/2012,Casas de cambio,4.4900,
5/24/2012,Informal,5.9300,
5/28/2012,Casas de cambio,4.4950,
5/28/2012,Informal,5.8900,
5/29/2012,Casas de cambio,4.4950,
5/29/2012,Informal,5.9100,
5/30/2012,Casas de cambio,4.4950,
5/30/2012,Informal,5.9000,
5/31/2012,Casas de cambio,4.4950,
5/31/2012,Informal,5.9200,
6/1/2012,Casas de cambio,4.4950,
6/1/2012,Informal,5.9500,
6/4/2012,Casas de cambio,4.4950,
6/4/2012,Informal,5.9500,
6/5/2012,Casas de cambio,4.5000,
6/5/2012,Informal,5.9500,
6/6/2012,Casas de cambio,4.5100,
6/6/2012,Informal,5.9500,
